mention,mention_norm,label,reason
Alan,alan,CANDIDATE,manual_review_dropped
Automatic Computing Engine,automatic computing engine,CANDIDATE,manual_review_dropped
British Prime Minister Gordon,british prime minister gordon,CANDIDATE,manual_review_dropped
Computable Numbers,computable numbers,CANDIDATE,manual_review_dropped
Earliest Known Uses,earliest known uses,CANDIDATE,manual_review_dropped
German Enigma,german enigma,CANDIDATE,manual_review_dropped
Government Code,government code,CANDIDATE,manual_review_dropped
London Other,london other,CANDIDATE,manual_review_dropped
Official Secrets Act,official secrets act,CANDIDATE,manual_review_dropped
