start_id,relation,end_id,year,role,source
Q20895966,INTRODUCES,Q179310,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q1967606,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q21578,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q220798,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q2278254,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q35794,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q66135280,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q867530,,,https://www.wikidata.org/
Q7251,AFFILIATED_WITH,Q924289,,,https://www.wikidata.org/
Q7251,AUTHORED,Q1190223,,,https://www.wikidata.org/
Q7251,AUTHORED,Q1191836,,,https://www.wikidata.org/
Q7251,AUTHORED,Q133854517,,,https://www.wikidata.org/
Q7251,AUTHORED,Q1527413,,,https://www.wikidata.org/
Q7251,AUTHORED,Q163310,,,https://www.wikidata.org/
Q7251,AUTHORED,Q189223,,,https://www.wikidata.org/
Q7251,AUTHORED,Q197970,,,https://www.wikidata.org/
Q7251,AUTHORED,Q20895949,,,https://www.wikidata.org/
Q7251,AUTHORED,Q20895966,,,https://www.wikidata.org/
Q7251,AUTHORED,Q2703890,,,https://www.wikidata.org/
Q7251,AUTHORED,Q309157,,,https://www.wikidata.org/
Q7251,AUTHORED,Q480476,,,https://www.wikidata.org/
Q7251,AUTHORED,Q622849,,,https://www.wikidata.org/
Q7251,AUTHORED,Q7661303,,,https://www.wikidata.org/
Q7251,AUTHORED,Q772056,,,https://www.wikidata.org/
Q7251,INFLUENCED,Q298521,,,https://www.wikidata.org/
Q7251,INFLUENCED,Q310798,,,https://www.wikidata.org/
Q7251,INFLUENCED,Q450154,,,https://www.wikidata.org/
Q7251,INFLUENCED,Q59884129,,,https://www.wikidata.org/
Q7251,PROPOSED,Q179310,,,https://www.wikidata.org/ (heuristic)
